"Key"	"en"	"es"	"cs"	"fi"	"fr"	"uk"	"sv"	"no"	"zh"	"tr"	"ru"	"ka"	"ro"	"pt"	"pl"	"nl"	"de"	"ko"	"ja"	"it"	"id"	"hi"	"bn"	"vi"	"ar"
"ModEnabled"	"mod enabled"	"mod activado"	"Mod povolen"	"Mod käytössä"	"MOD activé"	"Увімкнено мод"	"mod aktiverad"	"mod aktivert"	"已启用的模组"	"mod etkinleştirilmiş"	"мод активирован"	"ჩართულია"	"mod activat"	"mod habilitado"	"MOD włączony"	"MOD ingeschakeld"	"Mod aktiviert"	"모드가 활성화되었습니다"	"MODの有効化"	"MOD abilitato"	"mod diaktifkan"	"mod सक्षम"	"মোড সক্ষম"	"Mod được bật"	"تمكين MOD"
"ModIncludedAndEnabled"	"mod included and enabled"	"mod incluído y activado"	"Mod je zahrnut a povolen"	"Modiin sisältyy ja käytössä"	"Mod inclus et activé"	"Мод включений та включений"	"mod inkluderat och aktiverat"	"mod inkludert og aktivert"	"已包含且已启用的模组"	"Mod dahil ve etkin"	"мод добавлен и активирован"	"Mod შედის და ჩართულია"	"Mod inclus și activat"	"mod incluído e habilitado"	"Mod zawarte i włączone"	"Mod opgenomen en ingeschakeld"	"Mod enthalten und aktiviert"	"모드 포함 및 활성화"	"MODを含めて有効化"	"Mod incluso e abilitato"	"dimasukkan dan diaktifkan mod"	"मॉड शामिल और सक्षम"	"মোড অন্তর্ভুক্ত এবং সক্ষম"	"bao gồm mod và được bật"	"تضمنت وزارة الدفاع وتمكينها"
"ModEnabledPlural"	"mods enabled"	"mods activados"	"Mods povoleno"	"Modit käytössä"	"Mods activés"	"Увімкнено моди"	"mods aktiverade"	"mods aktivert"	"已启用的模组"	"Modlar etkinleştirildi"	"моды активированы"	"Mods ჩართულია"	"moduri activate"	"mods ativados"	"Mody włączone"	"Mods ingeschakeld"	"Mods aktiviert"	"모드가 활성화되었습니다"	"MODの有効化"	"Mod abilitate"	"mod diaktifkan"	"सक्षम mods"	"মোড সক্ষম"	"Mod được bật"	"MODS تمكين"
"ModIncludedAndEnabledPlural"	"mods included and enabled"	"mods incluídos y activados"	"Mody zahrnuty a povoleny"	"Modit sisältyvät ja käytössä"	"Mods inclus et activés"	"Моди включені та увімкнено"	"mods ingår och aktiverade"	"mods inkludert og aktivert"	"已包含且已启用的模组"	"Modlar dahil ve etkin"	"моды добавлены и активированы"	"მოდები შედის და ჩართულია"	"Moduri incluse și activate"	"mods incluídos e ativados"	"Uwzględnione i włączone mody"	"Mods opgenomen en ingeschakeld"	"Mods enthalten und aktiviert"	"모드가 포함되고 활성화되었습니다"	"MODを含めて有効化"	"Mods inclusi e abilitati"	"mod termasuk dan diaktifkan"	"मॉड्स शामिल और सक्षम"	"মোডগুলি অন্তর্ভুক্ত এবং সক্ষম"	"Các mod bao gồm và được bật"	"تضمنت التعديلات وتمكينها"
"ModIsLocal"	"Mod is local"	"Mod es local"	"Mod je místní"	"Mod on paikallinen"	"Le mod est local"	"Мод локальний"	"Mod är lokal"	"Mod er lokal"	"这是本地模组"	"Mod yereldir"	"Локальный мод"	"Mod არის ადგილობრივი"	"Mod este local"	"Mod é local"	"Mod jest lokalny"	"Mod is lokaal"	"Mod ist lokal"	"모드는 로컬입니다"	"ローカルMOD"	"La mod è locale"	"Mod bersifat lokal"	"मॉड स्थानीय है"	"মোড স্থানীয়"	"Mod là địa phương"	"وزارة الدفاع محلية"
"ModIsRemoved"	"Removed from Steam"	"Eliminado de Steam"	"Odstraněno z páry"	"Poistettu höyrystä"	"Retiré de Steam"	"Видалено з пари"	"Bort från ånga"	"Fjernet fra damp"	"已从 Steam 工坊移除"	"Buhardan kaldırıldı"	"Удалено из Steam"	"ამოღებულია ორთქლიდან"	"Îndepărtat din abur"	"Removido do vapor"	"Usunięte z pary"	"Verwijderd uit stoom"	"Aus Dampf entfernt"	"증기에서 제거되었습니다"	"Steamから削除済み"	"Rimosso dal vapore"	"Dihapus dari uap"	"भाप से हटा दिया गया"	"বাষ্প থেকে সরানো"	"Loại bỏ khỏi hơi nước"	"تمت إزالته من البخار"
"ModIsUnknown"	"Could not get this mod's information from Steam"	"No se pudo obtener la información de Steam"	"Nemohl získat informace o tomto mod od Steam"	"Ei voinut saada tätä modin tietoja höyrystä"	"Impossible d'obtenir les informations de ce mod depuis Steam"	"Не вдалося отримати інформацію цього моду з Steam"	"Kunde inte få denna Mods information från Steam"	"Kunne ikke få denne modens informasjon fra Steam"	"无法从 Steam 获取此模组的信息"	"Bu modun bilgilerini buhardan alamadım"	"Не удалось получить информацию об этом моде из Steam"	"ვერ მიიღო ამ მოდელის ინფორმაცია ორთქლისგან"	"Nu am putut obține informațiile acestui mod de la Steam"	"Não foi possível obter as informações deste mod do Steam"	"Nie mogłem uzyskać informacji tego modu z Steam"	"Kon de informatie van deze mod niet uit Steam halen"	"Konnte die Informationen dieses Mods nicht von Steam erhalten"	"이 모드의 정보를 Steam에서 얻을 수 없었습니다"	"MODの情報がSteamから取得できません。"	"Impossibile ottenere le informazioni di questa mod da Steam"	"Tidak bisa mendapatkan informasi mod ini dari Steam"	"स्टीम से इस मॉड की जानकारी नहीं मिल सका"	"বাষ্প থেকে এই মোডের তথ্য পেতে পারেনি"	"Không thể lấy thông tin của mod này từ Steam"	"لا يمكن الحصول على معلومات هذا التعديل من Steam"
"ModIsNotDownloaded"	"Content not found"	"No se econtró el contenido"	"obsah nenalezen"	"Sisältöä ei löytynyt"	"Contenu introuvable"	"Зміст не знайдено"	"Innehåll ej funnet"	"innhold ikke funnet"	"未找到内容"	"içerik bulunamadı"	"Контент не найден"	"შინაარსი არ მოიძებნა"	"continutul nu a fost gasit"	"Conteúdo não encontrado"	"Zawartość nie została znaleziona"	"inhoud niet gevonden"	"Inhalt nicht gefunden"	"내용을 찾을 수 없습니다"	"コンテンツが見つかりません"	"Contenuto non trovato"	"konten tidak ditemukan"	"सामग्री नहीं मिली"	"বিষয়বস্তু খুঁজে পাওয়া যায় না"	"Nội dung không tìm thấy"	"لم يتم العثور على المحتوى"
"ModIsOutOfDate"	"Mod is out of date"	"El mod está desactualizado"	"Mod je zastaralý"	"Mod on vanhentunut"	"Le mod est obsolète"	"Мод застарілий"	"Mod är föråldrad"	"Mod er utdatert"	"该模组已经过时"	"Mod güncel değil"	"Мод устарел"	"მოდი არ არის მოძველებული"	"Modul este demodat"	"Mod está desatualizado"	"Mod jest nieaktualny"	"Mod is verouderd"	"Mod ist veraltet veraltet"	"모드가 오래되었습니다"	"MODが古い"	"La mod è obsoleta"	"Mod sudah ketinggalan zaman"	"MOD पुराना है"	"মোড পুরানো"	"Mod đã lỗi thời"	"وزارة الدفاع قديمة"
"ModIsMaybeOutOfDate"	"Mod may be out of date"	"El mod puede estar desactualizado"	"Mod může být zastaralý"	"MOD voi olla vanhentunut"	"Le mod peut être obsolète"	"Мод може бути застарілим"	"Mod kan vara föråldrad"	"Mod kan være utdatert"	"该模组可能已经过时"	"Mod güncel olabilir"	"Мод может быть устаревшим"	"Mod შეიძლება არ იყოს მოძველებული"	"MOD poate fi depășit"	"Mod pode estar desatualizado"	"Mod może być nieaktualny"	"Mod kan verouderd zijn"	"Mod kann veraltet sein"	"모드가 구식 일 수 있습니다"	"MODが古い可能性あり"	"La mod può essere obsoleta"	"Mod mungkin ketinggalan zaman"	"मॉड डेट से बाहर हो सकता है"	"মোড পুরানো হতে পারে"	"Mod có thể lỗi thời"	"قد يكون وزارة الدفاع قديمة"
"ModIsIncomplete"	"Mod is not fully downloaded or is missing files"	"El mod no está descargado por completo o no tiene todos los archivos"	"Mod není plně stažen nebo chybí soubory"	"Modia ei ladata kokonaan tai puuttuu tiedostoja"	"Le mod n'est pas entièrement téléchargé ou manque de fichiers"	"Mod не повністю завантажений або відсутній файли"	"Mod laddas inte helt eller saknas filer"	"Mod er ikke lastet ned eller mangler filer fullt ut"	"模组没有下载完整，或者缺少了文件"	"Mod tam olarak indirilmez veya dosyaları eksik"	"Мод не полностью загружен или отсутствуют файлы"	"Mod სრულად არ არის გადმოწერილი ან აკლია ფაილები"	"Mod nu este complet descărcat sau lipsește fișiere"	"Mod não é totalmente baixado ou está ausente arquivos"	"Mod nie jest w pełni pobierany lub brakuje plików"	"Mod is niet volledig gedownload of ontbreekt bestanden"	"Mod ist nicht vollständig heruntergeladen oder fehlt Dateien"	"Mod는 완전히 다운로드되지 않았거나 파일이 누락되었습니다"	"MODのDLが不完全かファイルが足りません"	"La mod non è completamente scaricata o mancano i file"	"Mod tidak sepenuhnya diunduh atau tidak ada file yang hilang"	"MOD पूरी तरह से डाउनलोड नहीं किया गया है या फ़ाइलें गुम हैं"	"মোড পুরোপুরি ডাউনলোড হয় না বা ফাইলগুলি অনুপস্থিত"	"Mod không được tải xuống đầy đủ hoặc thiếu các tệp"	"لم يتم تنزيل MOD بالكامل أو مفقود الملفات"
"ModIsUpToDate"	"Mod is up to date and fully downloaded"	"El mod está actualizado y descargado por completo"	"Mod je aktuální a plně stažen"	"Mod on ajan tasalla ja ladattu täysin"	"MOD est à jour et entièrement téléchargé"	"Mod оновлений і повністю завантажений"	"Mod är uppdaterad och laddas helt ner helt"	"Mod er oppdatert og lastet full ned"	"该模组已更新至最新版，并且已完整下载"	"Mod güncel ve tamamen indirildi"	"Мод обновлен и полностью загружен"	"Mod განახლებულია და სრულად გადმოწერილია"	"Mod este actualizat și descărcat complet"	"Mod está atualizado e totalmente baixado"	"Mod jest aktualny i w pełni pobrany"	"Mod is up -to -date en volledig gedownload"	"Mod ist auf dem neuesten Stand und wird vollständig heruntergeladen"	"모드는 최신 상태이며 완전히 다운로드되었습니다"	"MODは最新版で全てDL済み"	"La mod è aggiornata e scaricata completamente"	"Mod up to date dan sepenuhnya diunduh"	"MOD अद्यतित है और पूरी तरह से डाउनलोड किया गया है"	"মোড আপ টু ডেট এবং সম্পূর্ণ ডাউনলোড"	"Mod được cập nhật và tải xuống đầy đủ"	"تعديل محدث وتم تنزيله بالكامل"
"Server"	"Server"	"Servidor"	"Server"	"Palvelin"	"Serveur"	"Сервер"	"Servern"	"Server"	"服务器"	"Sunucu"	"Сервер"	"სერვერი"	"Server"	"Servidor"	"serwer"	"Server"	"Server"	"섬기는 사람"	"サーバー"	"server"	"Server"	"सर्वर"	"সার্ভার"	"Máy chủ"	"الخادم"
"ModIncomplete"	"mod is not fully downloaded or is missing files"	"el mod no está descargado por completo o no tiene todos los archivos"	"Mod není plně stažen nebo chybí soubory"	"Modia ei ladata kokonaan tai puuttuu tiedostoja"	"Le mod n'est pas entièrement téléchargé ou manque de fichiers"	"mod не повністю завантажений або відсутній файли"	"mod laddas inte helt eller saknas filer"	"Mod er ikke lastet ned eller mangler filer fullt ut"	"模组没有下载完整，或者缺少了文件"	"Mod tam olarak indirilmez veya dosyaları eksik"	"мод не полностью загружен или отсутствуют файлы"	"Mod სრულად არ არის გადმოწერილი ან აკლია ფაილები"	"Mod nu este complet descărcat sau lipsește fișiere"	"Mod não é totalmente baixado ou está ausente arquivos"	"mod nie jest w pełni pobierany lub brakuje plików"	"Mod is niet volledig gedownload of ontbreekt bestanden"	"Mod ist nicht vollständig heruntergeladen oder fehlt Dateien"	"Mod는 완전히 다운로드되지 않았거나 파일이 누락되었습니다"	"MODのDLが不完全かファイルが足りません"	"La mod non è completamente scaricata o mancano i file"	"mod tidak sepenuhnya diunduh atau tidak ada file yang hilang"	"MOD पूरी तरह से डाउनलोड नहीं किया गया है या फ़ाइलें गुम हैं"	"মোড পুরোপুরি ডাউনলোড হয় না বা ফাইলগুলি অনুপস্থিত"	"Mod không được tải xuống đầy đủ hoặc thiếu các tệp"	"لم يتم تنزيل MOD بالكامل أو مفقود الملفات"
"ModIncompletePlural"	"mods are not fully downloaded or are missing files"	"los mods no están descargados por completo o no tienen todos los archivos"	"mody nejsou plně staženy nebo chybí soubory"	"Modit eivät ole kokonaan ladattu tai niistä puuttuvat tiedostot"	"Les mods ne sont pas entièrement téléchargés ou manquent de fichiers"	"моди не повністю завантажені або відсутні файли"	"mods laddas inte helt ner eller saknas filer"	"mods er ikke lastet ned eller mangler filer fullt ut"	"模组没有下载完整，或者缺少了文件"	"Modlar tam olarak indirilmez veya dosyalar eksik"	"моды не полностью загружены или отсутствуют файлы"	"რეჟიმები სრულად არ არის გადმოწერილი ან არ აქვთ ფაილები"	"Modurile nu sunt descărcate complet sau lipsesc fișiere"	"Os mods não são totalmente baixados ou estão ausentes de arquivos"	"Mody nie są w pełni pobierane lub brakuje plików"	"Mods zijn niet volledig gedownload of missen bestanden"	"Mods werden nicht vollständig heruntergeladen oder fehlen Dateien"	"모드는 완전히 다운로드되지 않았거나 파일이 누락되었습니다"	"MODのDLが不完全かファイルが足りません"	"Le mod non sono completamente scaricate o mancano i file"	"Mod tidak sepenuhnya diunduh atau file yang hilang"	"MODs पूरी तरह से डाउनलोड नहीं किए गए हैं या फाइलें गायब हैं"	"মোডগুলি পুরোপুরি ডাউনলোড হয় না বা ফাইলগুলি অনুপস্থিত"	"Các mod không được tải xuống đầy đủ hoặc bị thiếu các tệp"	"لم يتم تنزيل MODS بالكامل أو مفقودة الملفات"
"AssetIsLocal"	"Asset is local"	"Elemento es local"	"Aktivum je místní"	"Omaisuus on paikallista"	"Asset local"	"Актив місцевий"	"Tillgången är lokal"	"Eiendelen er lokalt"	"这是本地资产"	"Varlık yereldir"	"Локальный ассет"	"აქტივი ადგილობრივია"	"Activul este local"	"O ativo é local"	"Aktywa jest lokalne"	"Asset is lokaal"	"Asset ist lokal"	"자산은 현지입니다"	"ローカルアセット"	"La risorsa è locale"	"Aset adalah lokal"	"परिसंपत्ति स्थानीय है"	"সম্পদ স্থানীয়"	"Tài sản là địa phương"	"الأصول محلية"
"AssetIsRemoved"	"This Asset was removed from Steam"	"Este elemento ha sido eliminado de Steam"	"Toto aktivum bylo odstraněno z páry"	"Tämä omaisuuserä poistettiin höyrystä"	"Cet Item a été retiré de Steam"	"Цей актив видаляли з пари"	"Denna tillgång togs bort från ånga"	"Denne eiendelen ble fjernet fra damp"	"此资产已经从 Steam 工坊移除"	"Bu varlık buhardan kaldırıldı"	"Этот ассет был удален из Steam"	"ეს აქტივი ამოიღეს ორთქლიდან"	"Acest activ a fost eliminat din aburi"	"Este ativo foi removido do vapor"	"Ten zasób został usunięty z pary"	"Dit actief is uit stoom verwijderd"	"Dieser Vermögenswert wurde aus Dampf entfernt"	"이 자산은 증기에서 제거되었습니다"	"アセットがSteamから削除済み"	"Questa risorsa è stata rimossa da Steam"	"Aset ini dikeluarkan dari uap"	"इस संपत्ति को भाप से हटा दिया गया था"	"এই সম্পদ বাষ্প থেকে সরানো হয়েছিল"	"Tài sản này đã bị loại bỏ khỏi hơi nước"	"تمت إزالة هذا الأصل من البخار"
